Hectad,Tetrads
NG51,3
SJ95,1
SN81,13
NY93,1
NY77,15
NA92,2
SY88,12
SU93,2
SD82,6
NG97,7
SN91,17
NT90,4
SE25,3
NT06,3
TF71,1
NG45,7
SU91,5
NZ04,5
NY94,4
NB33,1
SN92,10
H90,1
SD58,1
NG35,3
NS49,2
NG47,3
SY98,16
NU12,1
SN96,11
SH67,1
SN82,10
SN64,3
NY25,8
NH07,3
NY85,4
TQ27,1
SU86,5
ST14,1
ST18,2
NS34,1
NY76,8
J28,1
SE04,2
SH77,4
NH91,7
NB43,1
SD87,4
SE15,8
J22,8
ST19,3
NY49,1
SS89,4
SN13,6
SY89,10
NB23,3
SN62,6
SK18,2
TF18,1
NZ13,1
N79,2
J21,2
NT31,2
SX47,2
NY86,2
TQ14,3
SE70,6
SD39,2
NG44,16
NG54,13
NT19,2
SW75,1
SJ65,1
SU96,8
SZ09,10
NY98,4
SH64,4
SD49,2
NC36,3
NY83,6
NM93,4
NH15,1
SU47,3
NT18,1
TQ42,6
SU20,6
SD29,10
SD73,3
SJ94,1
NU10,1
SW43,6
SJ62,3
SE64,1
SO13,2
NY84,8
SD69,2
N73,3
TF62,4
SN35,1
SO67,4
NG43,6
SN60,8
SE60,2
NY81,3
TG12,1
NY78,5
SY99,11
TQ43,9
SN66,9
NY96,1
SK55,1
SE05,4
SN72,10
SN85,7
NS87,10
J04,2
SE06,8
C91,4
NH81,2
SZ08,5
NS09,3
SK27,1
NY40,1
SO21,7
J39,1
SK19,4
SO01,10
SO10,5
NY14,2
NG46,11
J35,1
NY95,2
SN61,6
SD97,3
SU10,9
R13,1
SX16,2
SH56,8
NM54,1
NY30,2
SH72,2
TL03,1
NY68,4
SO16,4
SD72,9
SN77,3
NO19,5
NY10,2
J16,1
SU95,10
N69,1
SJ57,3
SS98,4
NY69,3
N42,1
SO22,2
NT04,1
TQ01,3
NT09,1
SY79,1
NB44,2
SD28,5
NY33,5
SE80,1
NS94,3
SO58,1
SN43,5
SO11,13
NZ12,1
NC22,16
SN74,8
SJ88,1
TQ46,2
SH75,5
SO03,2
R85,2
TQ73,2
NC14,10
SD66,13
SO49,6
SO02,4
NH36,1
SN53,7
W14,1
NC02,9
SN97,7
NB41,2
W19,2
T09,1
NM99,1
NZ00,2
NC13,11
SE71,10
NC11,7
SX77,4
S18,1
NC12,16
SH95,5
NC01,5
NC10,2
NC21,15
R08,1
S17,1
NC20,7
NZ14,2
NY66,11
NS46,1
SH66,13
SE14,2
R61,1
SX17,14
SO05,4
NR86,3
SO50,2
SC27,7
SN03,7
C72,2
R15,1
R99,2
SW95,4
NU03,1
NS64,5
NB42,2
NS40,1
SN90,7
NJ70,3
SN83,3
NS76,3
SH90,5
NG61,8
NS35,1
SU83,3
NR87,1
SN79,4
NC24,7
NZ08,1
SJ69,5
SD68,2
NC35,3
SD37,1
SZ19,6
SJ56,4
SD70,1
NY80,5
SN51,9
SD61,9
R10,1
S23,1
NY75,1
NZ03,4
SZ29,1
NR79,1
O00,1
R26,1
SD48,3
N68,2
NS07,2
W29,1
SD91,8
N91,1
Q95,1
SN71,16
SH57,3
NC03,7
SO28,1
NM98,1
TF82,1
SD17,1
SD99,2
SN84,4
H50,2
SX18,8
NG42,3
N52,1
H95,2
SX59,1
SU94,4
O01,3
NO09,7
N61,1
NU01,2
SN69,7
NS59,2
NY57,3
NB32,2
NB46,1
SU00,10
NY65,6
NO08,2
NY58,4
SU11,2
NR98,2
NT60,6
SD81,6
SC26,1
SD50,1
D01,2
SJ97,1
SS59,6
TQ94,1
SH74,4
NH10,1
SU92,2
SU01,2
NY99,6
O11,12
N60,1
SN89,5
SN87,12
C61,1
NG50,8
N39,2
NY79,3
NY90,2
NY87,4
NS58,1
SD64,7
NS78,1
SE63,2
SH91,3
S29,2
SK28,3
N57,1
SD94,2
SE89,9
SU82,5
NJ01,11
TG32,1
NS57,2
NT16,2
SJ43,6
SD55,6
N80,1
SE00,1
NB02,2
ST44,1
NN49,1
NO35,1
SN56,8
TQ06,1
NJ71,1
NT25,3
SK06,4
HU41,2
SD54,8
N72,3
N20,1
SY78,2
SD92,4
NY91,1
NS41,1
NS73,5
NH32,2
NJ82,1
NH41,1
SU21,6
NN98,1
SN99,5
NY64,3
SU72,1
SN50,3
NS67,3
NJ04,2
SU30,5
NH24,1
NH90,1
SD38,12
NJ55,5
SS48,1
NY72,1
N23,3
SN98,4
NX69,3
NJ60,1
NN35,2
NM90,1
NS70,1
NY37,1
M67,3
NS92,1
NX78,1
SZ58,2
SD56,6
SH45,1
NY60,3
N81,1
H34,2
NS82,2
NC84,4
G99,2
NS69,2
NM75,3
NC74,2
NX03,1
M33,1
HY32,3
NU11,1
SS82,1
O10,2
SM92,5
NG72,8
SD65,17
NY06,1
SD88,3
J57,2
G78,2
SM93,2
NT70,4
M65,3
NM71,3
SH55,3
G57,2
SJ91,1
NN06,3
N83,1
NY67,9
NN99,2
NO29,1
SN86,11
M68,2
N70,1
SS74,2
SW33,1
SD93,8
NM85,1
NM66,3
NW96,1
NT30,1
NH06,2
SD57,5
SE08,1
NT12,1
NJ43,1
NS54,2
NO38,1
SN23,1
NL58,3
SN55,1
NS91,4
SN42,5
NG73,5
HU42,3
N98,1
NM22,3
SH76,5
NT11,3
M91,1
NH01,3
SN31,2
HU43,3
SO17,3
NM39,8
SC38,7
NG30,11
ND04,3
NH02,5
SN95,1
SW73,3
S25,1
SO07,3
NM49,3
NO26,1
W69,1
D11,4
N49,1
NG80,1
NJ25,1
SH65,8
NS39,2
SN57,2
SH44,6
NG53,10
SN52,4
SO04,3
ND05,2
SO23,5
NC55,2
SN45,3
NS52,2
C90,1
NN56,1
C71,1
SC48,1
NG70,2
SX68,8
NN46,2
SS84,2
NS63,3
ST08,4
H41,1
NO47,1
NH84,3
H05,4
NJ65,3
NX96,1
M90,1
SX58,6
SN54,4
H69,3
SN76,3
C70,1
NB55,3
NS20,1
NT33,1
SN70,5
H13,6
NS45,4
G72,1
NS86,1
NO27,1
D02,3
C82,2
HY62,1
SN80,9
SD86,2
NG88,2
NY50,1
SH63,4
M63,1
SU73,3
C93,1
NC33,4
SH48,2
SN41,2
NJ91,3
NN53,2
NY89,4
SX27,7
NH82,1
NG94,2
SN33,4
NH19,3
NB31,1
NH04,1
NJ23,1
SJ53,2
NC95,3
NS26,5
NS96,5
SN73,2
NG62,5
C50,1
SD71,5
NX97,1
SX67,6
NN17,1
NJ30,1
NS62,3
NM83,2
NH68,2
M53,1
NN36,4
H89,3
M52,1
NY26,2
NG84,3
NJ15,1
NO46,1
H99,1
ND14,2
NR96,2
NN25,2
NO37,1
NB45,2
ND02,1
NA90,1
SH70,1
V73,1
SO09,2
NG40,2
SH60,1
D03,1
NX77,1
D00,1
C80,1
N00,1
C81,1
SX56,3
D12,2
J32,3
W15,1
NH80,1
J47,1
NG91,1
SY08,2
M51,1
C92,1
W05,1
NG19,1
SY39,1
Q80,1
NO48,3
NJ12,2
NH22,2
L74,4
M12,2
ND24,1
NY73,4
NB22,2
M64,1
NY15,1
SP93,1
SH71,2
SK96,2
NC25,4
TQ93,1
M35,2
NJ11,1
M54,1
NN92,1
SN78,4
NJ22,1
NY22,1
N32,1
Q82,1
NT05,5
NY46,2
NT64,3
NN03,2
NN37,1
M02,1
SJ92,1
NT00,2
NG78,1
NS83,2
NY88,1
SO35,1
NX76,1
NG96,3
SD60,2
N63,2
SO87,1
SU98,1
SN44,3
M75,1
NG18,1
D21,3
NX27,2
NJ02,2
NO10,1
M62,1
NY74,4
NY32,1
M36,1
SH85,1
NS89,2
NY23,1
ND39,1
ND03,2
NY59,1
NT86,2
SX66,12
R86,1
NZ02,1
M45,1
NC23,3
NG60,4
M13,1
NM67,3
M76,1
ST11,1
NN16,1
SN34,1
TQ16,1
M46,1
SP09,1
NB21,2
M03,1
NH37,1
NY27,2
TQ49,1
SU32,1
SO20,3
NB34,2
SJ73,1
NB03,1
M55,1
M87,1
NS33,1
NS65,3
NH62,1
SH28,3
SK05,2
NG37,1
NM44,1
NM74,1
NY56,2
SH61,3
M26,2
NS60,2
W79,1
R01,1
SH50,1
NT15,2
N12,3
NR39,2
SO53,1
NH00,3
N87,1
SC49,2
NG87,2
NG95,2
NR65,1
L87,1
SO14,2
NN19,2
SX19,1
NT01,4
NH05,2
NC42,3
NT80,4
SD75,6
L86,2
NY31,2
NT51,1
NN64,4
NT66,4
NM92,1
NN54,3
NR93,2
F80,3
SU84,3
NT91,1
NC32,3
NS85,1
SS69,1
N03,3
NM94,2
NY20,6
ST07,1
NT56,2
G80,1
NN30,1
NR89,1
NS27,4
N40,1
NN85,3
NH40,1
SH73,1
NT81,3
N41,1
NH60,2
NG86,3
SK11,1
D14,1
NG85,1
SS99,8
NR35,1
TG03,2
NN09,1
NS36,6
NG52,4
TG11,1
NN27,1
NN61,1
NH16,1
NN68,1
NK05,3
NT55,1
H40,1
SD46,1
J10,1
HP61,3
N11,2
NH11,1
F82,2
V67,1
D30,2
F61,1
S39,1
SO39,2
NM88,1
NN12,1
V56,1
SN63,1
NN08,1
H12,3
V66,1
Q50,1
NN07,3
NG24,3
NT65,3
NM63,2
NG71,3
SN40,2
J23,1
B61,1
H44,2
SO12,1
NH21,1
SD63,1
ND15,3
H48,1
SX69,2
NS55,2
M58,3
NG41,4
NX48,2
NB54,2
NS47,1
SH80,1
G58,2
NJ95,2
L84,2
G68,1
NJ41,2
B91,2
G33,1
NN42,1
G01,2
NC27,1
J46,1
NN34,2
G88,1
NG29,1
ND27,4
NX45,1
T08,1
NG36,1
HU49,3
TQ11,1
NH92,3
SH92,2
HP60,3
F83,1
F60,2
F50,1
R47,1
SO15,5
HU58,3
F72,1
NJ86,2
NM04,1
L73,3
SD76,2
NG34,3
SD79,2
NX55,1
L92,1
SO25,1
NC65,1
NN72,1
NM29,1
SH22,1
NG32,2
C34,1
F93,2
X28,1
SK07,2
NJ85,4
TF15,1
B82,1
NY21,1
SK69,1
NS99,2
G74,1
ND06,1
SX55,1
NO41,1
NC00,2
C44,1
NM64,1
NT92,1
NU00,1
L94,1
SJ00,4
C22,1
HU54,3
G89,1
B80,1
SK09,3
NG98,4
NX47,1
B92,2
NF72,1
NA91,1
SJ40,1
NN58,1
SN94,2
M74,1
SD74,5
J27,3
B90,1
F70,1
G10,2
L95,1
J45,2
L69,1
SC39,2
SD77,1
NY82,3
SO00,2
C03,1
SJ42,1
NB53,2
G79,1
C00,1
NM59,1
H35,2
NM91,2
NC37,2
ND17,2
NY55,2
SH46,1
C23,1
NN23,1
NH50,2
G75,1
NS53,2
NN44,3
NS80,1
TL40,1
NJ96,1
F81,2
NX98,2
SD96,1
M05,1
NY36,2
SX65,1
NN83,1
L79,1
NS97,1
M17,1
R69,3
NR49,1
NB40,1
G32,1
TQ05,2
NO89,3
NJ45,1
SN88,2
Q96,2
HU35,3
NO99,1
NX36,2
N43,1
NJ73,2
R67,1
SN12,2
SH81,1
NS30,1
SD19,3
V57,1
NT45,2
N99,1
R57,2
SN65,3
NM62,1
HY20,2
N71,1
NJ80,2
SK51,3
NB56,1
NM65,1
M04,1
NB10,1
V78,2
NS90,1
R58,2
NX37,1
NC94,2
N05,2
V68,1
NN43,2
W17,1
M83,1
NM32,1
SD67,2
NH55,1
NC52,2
NR51,1
NX28,2
N24,1
NN31,1
H78,1
H60,2
R39,1
H07,1
R16,1
C73,1
NX65,1
SJ01,1
SJ25,2
N04,3
NN48,1
NC31,1
J37,1
SE74,1
NJ84,3
NB52,1
V86,1
H26,1
N14,2
R59,1
ST64,1
J01,1
O12,2
G42,2
SJ60,1
TR03,1
NY97,1
R17,2
NN01,1
R19,1
NS48,1
V87,4
SJ24,1
H27,1
SX06,3
HY30,1
NG33,2
NJ24,2
NJ00,1
NS18,1
NM55,1
V98,9
N62,1
SJ02,2
N82,1
NC43,1
NC34,1
NS74,1
H36,1
SJ96,1
NR78,1
Q40,1
NG93,1
NT34,1
NY92,1
NH03,2
SJ75,1
SD98,1
M92,1
SD62,3
N13,1
NR61,1
NR75,1
SN68,1
SN75,2
C63,1
NC44,2
M14,1
H37,1
L97,1
NG90,3
N46,1
NZ71,4
M79,4
NN02,2
SH62,2
G71,1
SH83,3
SZ48,1
R05,1
NY08,1
SH93,1
ND13,1
NX58,1
NS79,1
N22,1
H54,1
NX19,1
TQ52,1
SJ79,1
NJ10,1
NT82,1
SX57,1
SJ49,1
NG89,1
J11,1
NS37,2
NS03,1
TQ53,1
NC15,1
NH12,3
NN33,3
NM96,1
M50,1
HY22,1
NM72,2
NG15,4
NC75,2
NH73,2
HY10,1
NC93,3
M59,2
NX56,1
NH47,3
NC70,1
NM48,3
HU59,4
NH67,2
V77,4
HU25,3
Q70,1
M09,1
HU27,2
NC50,1
NX49,1
NH58,1
NC83,2
N75,1
SD47,1
SS73,1
NG83,2
NM31,1
HU37,5
SU76,1
M94,1
HU56,4
NM45,1
NC40,2
SH94,2
TQ59,1
N89,1
HU28,1
NM41,2
SE20,1
NC82,1
H92,1
G21,1
TQ02,2
HU48,4
NN45,1
HP50,4
NC72,2
NG65,8
SE57,1
SH32,1
HU53,1
G52,1
SS83,1
SE47,1
G12,1
SS14,1
NO65,1
NC63,1
NC51,1
ND19,1
SE48,2
Q91,1
G31,2
NR46,1
ND28,1
NG55,2
G02,1
R04,1
D23,1
NC73,3
NH77,1
NM34,1
G40,2
NN00,2
NO25,1
L64,1
HU24,3
N28,1
F94,1
NH94,3
F91,1
G90,1
G50,1
NY41,1
NY53,2
L55,2
R92,1
NC91,1
SE79,1
HU47,2
V93,1
M18,1
M96,1
J13,1
W08,3
HU16,2
NR36,1
SS78,1
W09,1
HU45,2
R21,1
NH25,1
NJ42,2
HY61,2
HU69,1
NN24,1
TL70,1
M69,1
SN02,2
Q94,1
SJ59,1
SH54,1
HU46,3
NG64,1
SX05,1
NX99,1
L78,1
HU38,4
NM53,1
NS21,1
SK08,1
NH26,1
SE66,2
SJ50,1
NC41,1
NT24,1
SD40,1
NC85,1
NC64,2
NH88,1
HU68,1
NJ14,1
SD44,1
NZ80,2
SO08,1
NX35,2
L99,1
M39,1
NY63,2
HU15,1
SU56,1
HU66,1
NR97,1
NN82,1
HU34,2
R03,1
NC56,1
SK36,1
SU37,1
NH78,1
NN77,1
NH13,1
SJ04,1
NZ09,1
SJ05,1
W25,1
SE59,2
NC45,1
G51,1
HP51,1
NN55,1
NR26,2
ND01,1
G13,1
SW96,1
NR44,1
NM82,1
M29,1
NH44,1
NB30,1
W06,1
ND37,1
R02,1
NH95,2
NX26,1
NN80,1
V88,2
SH53,1
SX26,1
NZ61,4
NX39,1
SK41,2
HU44,2
HU36,2
NY07,1
NM76,1
NS04,1
NZ81,1
NZ60,2
NY48,1
TQ33,1
J26,1
NC26,1
SE49,1
H83,1
SX29,1
SE07,1
SH47,1
TQ95,1
SE99,1
SW63,1
NH28,1
SW42,1
SE16,1
SE18,1
HT93,1
SK31,1
SX46,1
NY16,1
NX17,1
